lapsell_type_01_backstage_gap,candidate_01
lapsell_type_02_practice_trace,candidate_02
lapsell_type_03_stage_edge_baseline,candidate_03
lapsell_type_07_repeated_l,candidate_04
lapsell_type_08_outside_light,candidate_05
lapsell_type_14_underlayer,candidate_06
lapsell_type_17_curtain_slit,candidate_07
lapsell_type_19_cork_pin,candidate_13
lapsell_type_22_hidden_frame,candidate_09
lapsell_type_24_boundary_crossing,candidate_10
lapsell_type_27_underwater,candidate_11
lapsell_type_40_pre_show_breath,candidate_12
